"name","type"
"Broken","Frame"
"Coated","Frame"
"Corroded","Frame"
"Cracked","Frame"
"Missing","Frame"
"Sound","Frame"
"Pitted","Frame"
"Worn","Frame"
"D = Defective","Chimney"
"S = Sound","Chimney"
"X = Not Known","Chimney"
"D = Defective","Cone"
"S = Sound","Cone"
"X = Not Known","Cone"
"D = Defective","Walls"
"S = Sound","Walls"
"X = Not Known","Walls"
"D = Defective","Bench"
"S = Sound","Bench"
"X = Not Known","Bench"
"D = Defective","Channel"
"S = Sound","Channel"
"X = Not Known","Channel"
